Time of Day,Process Name,PID,Operation,Path,Result,Detail
14:15.6,OUTLOOK.EXE,21424,RegOpenKey,HKLM\System\CurrentControlSet\Control\Nls\CodePage,REPARSE,Desired Access: Read
14:15.6,OUTLOOK.EXE,21424,RegOpenKey,HKLM\System\CurrentControlSet\Control\Session Manager,REPARSE,Desired Access: Query Value
14:15.6,OUTLOOK.EXE,21424,RegQueryValue,HKLM\System\CurrentControlSet\Control\Session Manager\RaiseExceptionOnPossibleDeadlock,NAME NOT FOUND,Length: 80
14:15.6,OUTLOOK.EXE,21424,RegQueryValue,HKLM\SOFTWARE\Microsoft\Windows NT\CurrentVersion\Image File Execution Options\outlook.exe\UseFilter,NAME NOT FOUND,Length: 544
14:15.6,OUTLOOK.EXE,21424,RegQueryValue,HKLM\SOFTWARE\Microsoft\Windows NT\CurrentVersion\Image File Execution Options\outlook.exe\DisableHeapLookaside,NAME NOT FOUND,"Length: 1,024"
14:15.6,OUTLOOK.EXE,21424,RegQueryValue,HKLM\SOFTWARE\Microsoft\Windows NT\CurrentVersion\Image File Execution Options\outlook.exe\FrontEndHeapDebugOptions,NAME NOT FOUND,"Length: 1,024"
14:15.6,OUTLOOK.EXE,21424,RegQueryValue,HKLM\SOFTWARE\Microsoft\Windows NT\CurrentVersion\Image File Execution Options\outlook.exe\ShutdownFlags,NAME NOT FOUND,"Length: 1,024"
14:15.6,OUTLOOK.EXE,21424,RegQueryValue,HKLM\SOFTWARE\Microsoft\Windows NT\CurrentVersion\Image File Execution Options\outlook.exe\UnloadEventTraceDepth,NAME NOT FOUND,"Length: 1,024"
14:15.6,OUTLOOK.EXE,21424,RegQueryValue,HKLM\SOFTWARE\Microsoft\Windows NT\CurrentVersion\Image File Execution Options\outlook.exe\MaxLoaderThreads,NAME NOT FOUND,"Length: 1,024"
14:15.6,OUTLOOK.EXE,21424,RegQueryValue,HKLM\SOFTWARE\Microsoft\Windows NT\CurrentVersion\Image File Execution Options\outlook.exe\UseImpersonatedDeviceMap,NAME NOT FOUND,"Length: 1,024"
14:15.6,OUTLOOK.EXE,21424,RegQueryValue,HKLM\SOFTWARE\Microsoft\Windows NT\CurrentVersion\Image File Execution Options\outlook.exe\TracingFlags,NAME NOT FOUND,"Length: 1,024"
14:15.6,OUTLOOK.EXE,21424,RegQueryValue,HKLM\SOFTWARE\Microsoft\Windows NT\CurrentVersion\Image File Execution Options\outlook.exe\RaiseExceptionOnPossibleDeadlock,NAME NOT FOUND,"Length: 1,024"
14:15.6,OUTLOOK.EXE,21424,RegQueryValue,HKLM\SOFTWARE\Microsoft\Windows NT\CurrentVersion\Image File Execution Options\outlook.exe\LegacyDosDevicePaths,NAME NOT FOUND,"Length: 1,024"
14:15.6,OUTLOOK.EXE,21424,RegQueryValue,HKLM\SOFTWARE\Microsoft\Windows NT\CurrentVersion\Image File Execution Options\outlook.exe\CFGOptions,NAME NOT FOUND,"Length: 1,024"
14:15.6,OUTLOOK.EXE,21424,RegQueryValue,HKLM\SOFTWARE\Microsoft\Windows NT\CurrentVersion\Image File Execution Options\outlook.exe\MinimumStackCommitInBytes,NAME NOT FOUND,"Length: 1,024"
14:15.6,OUTLOOK.EXE,21424,RegQueryValue,HKLM\SOFTWARE\Microsoft\Windows NT\CurrentVersion\Image File Execution Options\outlook.exe\BreakOnInitializeProcessFailure,NAME NOT FOUND,"Length: 1,024"
14:15.6,OUTLOOK.EXE,21424,RegQueryValue,HKLM\SOFTWARE\Microsoft\Windows NT\CurrentVersion\Image File Execution Options\outlook.exe\KeepActivationContextsAlive,NAME NOT FOUND,"Length: 1,024"
14:15.6,OUTLOOK.EXE,21424,RegQueryValue,HKLM\SOFTWARE\Microsoft\Windows NT\CurrentVersion\Image File Execution Options\outlook.exe\TrackActivationContextReleases,NAME NOT FOUND,"Length: 1,024"
14:15.6,OUTLOOK.EXE,21424,RegQueryValue,HKLM\SOFTWARE\Microsoft\Windows NT\CurrentVersion\Image File Execution Options\outlook.exe\MaxDeadActivationContexts,NAME NOT FOUND,"Length: 1,024"
14:15.6,OUTLOOK.EXE,21424,RegQueryValue,HKLM\SOFTWARE\Microsoft\Windows NT\CurrentVersion\Image File Execution Options\outlook.exe\ImageExpansionMitigation,NAME NOT FOUND,"Length: 1,024"
14:15.6,OUTLOOK.EXE,21424,RegQueryValue,HKLM\SOFTWARE\Microsoft\Windows NT\CurrentVersion\Image File Execution Options\outlook.exe\GlobalFlag,NAME NOT FOUND,"Length: 1,024"
14:15.6,OUTLOOK.EXE,21424,RegQueryValue,HKLM\SOFTWARE\Microsoft\Windows NT\CurrentVersion\Image File Execution Options\outlook.exe\GlobalFlag2,NAME NOT FOUND,"Length: 1,024"
14:15.6,OUTLOOK.EXE,21424,RegQueryValue,HKLM\SOFTWARE\Microsoft\Windows NT\CurrentVersion\Image File Execution Options\outlook.exe\QueryProcessModuleInformationLoopDetectorCount,NAME NOT FOUND,"Length: 1,024"
14:15.6,OUTLOOK.EXE,21424,RegOpenKey,HKLM\SYSTEM\CurrentControlSet\Control\Session Manager\Segment Heap,REPARSE,Desired Access: Query Value
14:15.6,OUTLOOK.EXE,21424,RegOpenKey,HKLM\System\CurrentControlSet\Control\Session Manager\Segment Heap,NAME NOT FOUND,Desired Access: Query Value
14:15.6,OUTLOOK.EXE,21424,RegQueryValue,HKLM\SOFTWARE\Microsoft\Windows NT\CurrentVersion\Image File Execution Options\outlook.exe\CWDIllegalInDLLSearch,NAME NOT FOUND,"Length: 1,024"
14:15.6,OUTLOOK.EXE,21424,RegQueryValue,HKLM\SOFTWARE\Microsoft\Windows NT\CurrentVersion\Image File Execution Options\outlook.exe\UseFilter,NAME NOT FOUND,Length: 544
14:15.6,OUTLOOK.EXE,21424,RegQueryValue,HKLM\SOFTWARE\Microsoft\Windows NT\CurrentVersion\Image File Execution Options\outlook.exe\GCInterval,NAME NOT FOUND,"Length: 1,024"
14:15.6,OUTLOOK.EXE,21424,RegQueryValue,HKLM\System\CurrentControlSet\Control\Notifications\41911A28A3BC10B5,BUFFER TOO SMALL,Length: 0
14:15.6,OUTLOOK.EXE,21424,RegQueryValue,HKLM\SOFTWARE\Microsoft\Windows NT\CurrentVersion\Image File Execution Options\outlook.exe\DebugProcessHeapOnly,NAME NOT FOUND,"Length: 1,024"
14:15.6,OUTLOOK.EXE,21424,RegOpenKey,HKLM\System\CurrentControlSet\Control\StateSeparation\RedirectionMap\Keys,REPARSE,Desired Access: Read
14:15.6,OUTLOOK.EXE,21424,RegOpenKey,HKLM\System\CurrentControlSet\Control\StateSeparation\RedirectionMap\Keys,NAME NOT FOUND,Desired Access: Read
14:15.6,OUTLOOK.EXE,21424,RegQueryValue,HKLM\SOFTWARE\Microsoft\Windows NT\CurrentVersion\Image File Execution Options\outlook.exe\UseFilter,NAME NOT FOUND,Length: 544
14:15.6,OUTLOOK.EXE,21424,RegQueryValue,HKLM\SOFTWARE\Microsoft\Windows NT\CurrentVersion\Image File Execution Options\outlook.exe\SearchPathMode,NAME NOT FOUND,"Length: 1,024"
14:15.6,OUTLOOK.EXE,21424,RegOpenKey,HKLM\System\CurrentControlSet\Control\SafeBoot\Option,REPARSE,"Desired Access: Query Value, Set Value"
14:15.6,OUTLOOK.EXE,21424,RegOpenKey,HKLM\System\CurrentControlSet\Control\SafeBoot\Option,NAME NOT FOUND,"Desired Access: Query Value, Set Value"
14:15.6,OUTLOOK.EXE,21424,RegOpenKey,HKLM\System\CurrentControlSet\Control\Srp\GP\DLL,REPARSE,Desired Access: Read
14:15.6,OUTLOOK.EXE,21424,RegOpenKey,HKU\S-1-5-21-3864127288-4269091514-3769087142-6139\Software\Policies\Microsoft\Windows\Safer\CodeIdentifiers,NAME NOT FOUND,Desired Access: Query Value
14:15.6,OUTLOOK.EXE,21424,RegOpenKey,HKLM\System\CurrentControlSet\Control\FileSystem\,REPARSE,Desired Access: Read
14:15.6,OUTLOOK.EXE,21424,RegQueryValue,HKLM\System\CurrentControlSet\Control\FileSystem\LPGO,NAME NOT FOUND,Length: 20
14:15.6,OUTLOOK.EXE,21424,QueryOpen,C:\Windows\System32\apphelp.dll,FAST IO DISALLOWED,
14:15.6,OUTLOOK.EXE,21424,CreateFileMapping,C:\Windows\System32\apphelp.dll,FILE LOCKED WITH ONLY READERS,"SyncType: SyncTypeCreateSection, PageProtection: PAGE_EXECUTE|PAGE_NOCACHE"
14:15.6,OUTLOOK.EXE,21424,RegOpenKey,HKLM\System\CurrentControlSet\Control\Srp\GP\,REPARSE,Desired Access: Read
14:15.6,OUTLOOK.EXE,21424,RegOpenKey,HKLM\System\CurrentControlSet\Control\AppID\Configuration\SMARTLOCKER,REPARSE,Desired Access: Read
14:15.6,OUTLOOK.EXE,21424,RegQueryValue,HKLM\System\CurrentControlSet\Control\AppID\Configuration\SMARTLOCKER\DISABLED,NAME NOT FOUND,Length: 48
14:15.6,OUTLOOK.EXE,21424,RegOpenKey,HKLM\System\CurrentControlSet\Control\AppID\Configuration\SMARTLOCKER,REPARSE,Desired Access: Read
14:15.6,OUTLOOK.EXE,21424,RegOpenKey,HKLM\System\CurrentControlSet\Control\AppID\Configuration\SMARTLOCKER,REPARSE,Desired Access: Read
14:15.6,OUTLOOK.EXE,21424,RegOpenKey,HKLM\System\CurrentControlSet\Control\AppID\Configuration\SMARTLOCKER,REPARSE,Desired Access: Read
14:15.6,OUTLOOK.EXE,21424,RegQueryValue,HKLM\System\CurrentControlSet\Control\AppID\Configuration\SMARTLOCKER\DISABLED,NAME NOT FOUND,Length: 48
14:15.6,OUTLOOK.EXE,21424,RegQueryValue,HKLM\SOFTWARE\Microsoft\Windows NT\CurrentVersion\AppCompatFlags\LogFlags,NAME NOT FOUND,Length: 20
14:15.6,OUTLOOK.EXE,21424,RegOpenKey,HKLM\OSDATA\Software\Microsoft\Windows NT\CurrentVersion\AppCompatFlags,NAME NOT FOUND,Desired Access: Query Value
14:15.6,OUTLOOK.EXE,21424,RegQueryValue,HKLM\SOFTWARE\Microsoft\Windows NT\CurrentVersion\AppCompatFlags\ShowDebugInfo,NAME NOT FOUND,Length: 20
14:15.6,OUTLOOK.EXE,21424,QuerySecurityFile,C:\Program Files\Microsoft Office\root\Office16\OUTLOOK.EXE,BUFFER OVERFLOW,Information: Owner
14:15.6,OUTLOOK.EXE,21424,QuerySecurityFile,C:\Windows\System32\ntdll.dll,BUFFER OVERFLOW,Information: Owner
14:15.6,OUTLOOK.EXE,21424,QuerySecurityFile,C:\Windows\System32\kernel32.dll,BUFFER OVERFLOW,Information: Owner
14:15.6,OUTLOOK.EXE,21424,QuerySecurityFile,C:\Windows\System32\KernelBase.dll,BUFFER OVERFLOW,Information: Owner
14:15.6,OUTLOOK.EXE,21424,RegQueryValue,HKLM\SOFTWARE\Microsoft\Windows NT\CurrentVersion\AppCompatFlags\SdbUpdates\StagedDelete_sysmain.sdb,NAME NOT FOUND,Length: 0
14:15.6,OUTLOOK.EXE,21424,RegQueryValue,HKLM\SOFTWARE\Microsoft\Windows NT\CurrentVersion\AppCompatFlags\SdbUpdates\sysmain.sdb,BUFFER TOO SMALL,Length: 0
14:15.6,OUTLOOK.EXE,21424,RegQueryValue,HKLM\SOFTWARE\Microsoft\Windows NT\CurrentVersion\AppCompatFlags\SdbUpdates\DisableDoubleQuerySdbs,NAME NOT FOUND,Length: 20
14:15.6,OUTLOOK.EXE,21424,CreateFileMapping,C:\Windows\apppatch\01DC9B4D2C0EE046.sysmain.sdb,FILE LOCKED WITH ONLY READERS,"SyncType: SyncTypeCreateSection, PageProtection: PAGE_EXECUTE|PAGE_NOCACHE"
14:15.6,OUTLOOK.EXE,21424,RegQueryValue,HKLM\SOFTWARE\Microsoft\Windows NT\CurrentVersion\AppCompatFlags\SdbUpdates\DisableDoubleQuerySdbs,NAME NOT FOUND,Length: 20
14:15.6,OUTLOOK.EXE,21424,RegQueryValue,HKLM\SOFTWARE\Microsoft\Windows NT\CurrentVersion\AppCompatFlags\SdbUpdates\StagedDelete_sysMerge.sdb,NAME NOT FOUND,Length: 0
14:15.6,OUTLOOK.EXE,21424,RegQueryValue,HKLM\SOFTWARE\Microsoft\Windows NT\CurrentVersion\AppCompatFlags\SdbUpdates\sysMerge.sdb,NAME NOT FOUND,Length: 0
14:15.6,OUTLOOK.EXE,21424,RegQueryValue,HKLM\SOFTWARE\Microsoft\Windows NT\CurrentVersion\AppCompatFlags\SdbUpdates\DisableDoubleQuerySdbs,NAME NOT FOUND,Length: 20
14:15.6,OUTLOOK.EXE,21424,RegQueryValue,HKLM\SOFTWARE\Microsoft\Windows NT\CurrentVersion\AppCompatFlags\SdbUpdates\StagedDelete_sysMerge.sdb,NAME NOT FOUND,Length: 0
14:15.6,OUTLOOK.EXE,21424,RegQueryValue,HKLM\SOFTWARE\Microsoft\Windows NT\CurrentVersion\AppCompatFlags\SdbUpdates\sysMerge.sdb,NAME NOT FOUND,Length: 0
14:15.6,OUTLOOK.EXE,21424,RegQueryValue,HKLM\SOFTWARE\Microsoft\Windows NT\CurrentVersion\AppCompatFlags\SdbUpdates\StagedDelete_sysmain.sdb,NAME NOT FOUND,Length: 0
14:15.6,OUTLOOK.EXE,21424,RegQueryValue,HKLM\SOFTWARE\Microsoft\Windows NT\CurrentVersion\AppCompatFlags\SdbUpdates\sysmain.sdb,BUFFER TOO SMALL,Length: 0
14:15.6,OUTLOOK.EXE,21424,RegQueryValue,HKLM\SOFTWARE\Microsoft\Windows NT\CurrentVersion\AppCompatFlags\SdbUpdates\DisableDoubleQuerySdbs,NAME NOT FOUND,Length: 20
14:15.6,OUTLOOK.EXE,21424,RegOpenKey,HKLM\System\CurrentControlSet\Control\Session Manager,REPARSE,Desired Access: Query Value
14:15.6,OUTLOOK.EXE,21424,RegQueryValue,HKLM\System\CurrentControlSet\Control\Session Manager\SafeDllSearchMode,NAME NOT FOUND,Length: 16
14:15.6,OUTLOOK.EXE,21424,QueryOpen,C:\Program Files\Microsoft Office\root\Office16\AppvIsvSubsystems64.dll,FAST IO DISALLOWED,
14:15.6,OUTLOOK.EXE,21424,QueryOpen,C:\Program Files\Microsoft Office\root\Office16\OutlookServicing.DLL,FAST IO DISALLOWED,
14:15.6,OUTLOOK.EXE,21424,QueryOpen,C:\Program Files\Microsoft Office\root\Office16\vcruntime140_1.dll,FAST IO DISALLOWED,
14:15.6,OUTLOOK.EXE,21424,CreateFile,C:\Program Files\Microsoft Office\root\Office16\AppvIsvSubsystems64.dll,REPARSE,"Desired Access: Read Data/List Directory, Execute/Traverse, Synchronize, Disposition: Open, Options: Synchronous IO Non-Alert, Non-Directory File, Attributes: n/a, ShareMode: Read, Delete, AllocationSize: n/a, OpenResult: <unknown>"
14:15.6,OUTLOOK.EXE,21424,CreateFileMapping,C:\Program Files\Microsoft Office\root\Office16\OutlookServicing.DLL,FILE LOCKED WITH ONLY READERS,"SyncType: SyncTypeCreateSection, PageProtection: PAGE_EXECUTE|PAGE_NOCACHE"
14:15.6,OUTLOOK.EXE,21424,CreateFileMapping,C:\Program Files\Microsoft Office\root\Office16\vcruntime140_1.dll,FILE LOCKED WITH ONLY READERS,"SyncType: SyncTypeCreateSection, PageProtection: PAGE_EXECUTE|PAGE_NOCACHE"
14:15.6,OUTLOOK.EXE,21424,RegOpenKey,HKLM\System\CurrentControlSet\Control\Srp\GP\,REPARSE,Desired Access: Read
14:15.6,OUTLOOK.EXE,21424,RegOpenKey,HKLM\System\CurrentControlSet\Control\Srp\GP\,REPARSE,Desired Access: Read
14:15.6,OUTLOOK.EXE,21424,CreateFileMapping,C:\Program Files\Common Files\microsoft shared\ClickToRun\AppvIsvSubsystems64.dll,FILE LOCKED WITH ONLY READERS,"SyncType: SyncTypeCreateSection, PageProtection: PAGE_EXECUTE|PAGE_NOCACHE"
14:15.6,OUTLOOK.EXE,21424,RegOpenKey,HKLM\System\CurrentControlSet\Control\Srp\GP\,REPARSE,Desired Access: Read
14:15.6,OUTLOOK.EXE,21424,RegOpenKey,HKLM\System\CurrentControlSet\Control\AppID\Configuration\SMARTLOCKER,REPARSE,Desired Access: Read
14:15.6,OUTLOOK.EXE,21424,RegOpenKey,HKLM\System\CurrentControlSet\Control\AppID\Configuration\SMARTLOCKER,REPARSE,Desired Access: Read
14:15.6,OUTLOOK.EXE,21424,RegQueryValue,HKLM\System\CurrentControlSet\Control\AppID\Configuration\SMARTLOCKER\DISABLED,NAME NOT FOUND,Length: 48
14:15.6,OUTLOOK.EXE,21424,RegQueryValue,HKLM\System\CurrentControlSet\Control\AppID\Configuration\SMARTLOCKER\DISABLED,NAME NOT FOUND,Length: 48
14:15.6,OUTLOOK.EXE,21424,RegOpenKey,HKLM\System\CurrentControlSet\Control\AppID\Configuration\SMARTLOCKER,REPARSE,Desired Access: Read
14:15.6,OUTLOOK.EXE,21424,RegOpenKey,HKLM\System\CurrentControlSet\Control\AppID\Configuration\SMARTLOCKER,REPARSE,Desired Access: Read
14:15.6,OUTLOOK.EXE,21424,RegOpenKey,HKLM\System\CurrentControlSet\Control\AppID\Configuration\SMARTLOCKER,REPARSE,Desired Access: Read
14:15.6,OUTLOOK.EXE,21424,RegQueryValue,HKLM\System\CurrentControlSet\Control\AppID\Configuration\SMARTLOCKER\DISABLED,NAME NOT FOUND,Length: 48
14:15.6,OUTLOOK.EXE,21424,RegOpenKey,HKLM\System\CurrentControlSet\Control\AppID\Configuration\SMARTLOCKER,REPARSE,Desired Access: Read
14:15.6,OUTLOOK.EXE,21424,RegOpenKey,HKLM\System\CurrentControlSet\Control\AppID\Configuration\SMARTLOCKER,REPARSE,Desired Access: Read
14:15.6,OUTLOOK.EXE,21424,RegOpenKey,HKLM\System\CurrentControlSet\Control\AppID\Configuration\SMARTLOCKER,REPARSE,Desired Access: Read
14:15.6,OUTLOOK.EXE,21424,RegOpenKey,HKLM\System\CurrentControlSet\Control\AppID\Configuration\SMARTLOCKER,REPARSE,Desired Access: Read
14:15.6,OUTLOOK.EXE,21424,RegOpenKey,HKLM\System\CurrentControlSet\Control\AppID\Configuration\SMARTLOCKER,REPARSE,Desired Access: Read
14:15.6,OUTLOOK.EXE,21424,RegOpenKey,HKLM\System\CurrentControlSet\Control\AppID\Configuration\SMARTLOCKER,REPARSE,Desired Access: Read
14:15.6,OUTLOOK.EXE,21424,RegQueryValue,HKLM\System\CurrentControlSet\Control\AppID\Configuration\SMARTLOCKER\DISABLED,NAME NOT FOUND,Length: 48
14:15.6,OUTLOOK.EXE,21424,RegQueryValue,HKLM\System\CurrentControlSet\Control\AppID\Configuration\SMARTLOCKER\DISABLED,NAME NOT FOUND,Length: 48
14:15.6,OUTLOOK.EXE,21424,RegOpenKey,HKLM\System\CurrentControlSet\Control\AppID\Configuration\SMARTLOCKER,REPARSE,Desired Access: Read
14:15.6,OUTLOOK.EXE,21424,RegQueryValue,HKLM\System\CurrentControlSet\Control\AppID\Configuration\SMARTLOCKER\DISABLED,NAME NOT FOUND,Length: 48
14:15.7,OUTLOOK.EXE,21424,QueryOpen,C:\Program Files\Microsoft Office\root\Office16\vcruntime140.dll,FAST IO DISALLOWED,
14:15.7,OUTLOOK.EXE,21424,CreateFileMapping,C:\Program Files\Microsoft Office\root\Office16\vcruntime140.dll,FILE LOCKED WITH ONLY READERS,"SyncType: SyncTypeCreateSection, PageProtection: PAGE_EXECUTE|PAGE_NOCACHE"
14:15.7,OUTLOOK.EXE,21424,RegOpenKey,HKLM\System\CurrentControlSet\Control\Srp\GP\,REPARSE,Desired Access: Read
14:15.7,OUTLOOK.EXE,21424,RegOpenKey,HKLM\System\CurrentControlSet\Control\AppID\Configuration\SMARTLOCKER,REPARSE,Desired Access: Read
14:15.7,OUTLOOK.EXE,21424,RegQueryValue,HKLM\System\CurrentControlSet\Control\AppID\Configuration\SMARTLOCKER\DISABLED,NAME NOT FOUND,Length: 48
14:15.7,OUTLOOK.EXE,21424,RegOpenKey,HKLM\System\CurrentControlSet\Control\AppID\Configuration\SMARTLOCKER,REPARSE,Desired Access: Read
14:15.7,OUTLOOK.EXE,21424,QueryOpen,C:\Program Files\Microsoft Office\root\Office16\msvcp140.dll,FAST IO DISALLOWED,
14:15.7,OUTLOOK.EXE,21424,RegOpenKey,HKLM\System\CurrentControlSet\Control\AppID\Configuration\SMARTLOCKER,REPARSE,Desired Access: Read
14:15.7,OUTLOOK.EXE,21424,RegOpenKey,HKLM\System\CurrentControlSet\Control\AppID\Configuration\SMARTLOCKER,REPARSE,Desired Access: Read
14:15.7,OUTLOOK.EXE,21424,CreateFileMapping,C:\Program Files\Microsoft Office\root\Office16\msvcp140.dll,FILE LOCKED WITH ONLY READERS,"SyncType: SyncTypeCreateSection, PageProtection: PAGE_EXECUTE|PAGE_NOCACHE"
14:15.7,OUTLOOK.EXE,21424,RegQueryValue,HKLM\System\CurrentControlSet\Control\AppID\Configuration\SMARTLOCKER\DISABLED,NAME NOT FOUND,Length: 48
14:15.7,OUTLOOK.EXE,21424,RegOpenKey,HKLM\System\CurrentControlSet\Control\Srp\GP\,REPARSE,Desired Access: Read
14:15.7,OUTLOOK.EXE,21424,RegOpenKey,HKLM\System\CurrentControlSet\Control\AppID\Configuration\SMARTLOCKER,REPARSE,Desired Access: Read
14:15.7,OUTLOOK.EXE,21424,RegQueryValue,HKLM\System\CurrentControlSet\Control\AppID\Configuration\SMARTLOCKER\DISABLED,NAME NOT FOUND,Length: 48
14:15.7,OUTLOOK.EXE,21424,RegOpenKey,HKLM\System\CurrentControlSet\Control\AppID\Configuration\SMARTLOCKER,REPARSE,Desired Access: Read
14:15.7,OUTLOOK.EXE,21424,RegOpenKey,HKLM\System\CurrentControlSet\Control\AppID\Configuration\SMARTLOCKER,REPARSE,Desired Access: Read
14:15.7,OUTLOOK.EXE,21424,RegOpenKey,HKLM\System\CurrentControlSet\Control\AppID\Configuration\SMARTLOCKER,REPARSE,Desired Access: Read
14:15.7,OUTLOOK.EXE,21424,RegQueryValue,HKLM\System\CurrentControlSet\Control\AppID\Configuration\SMARTLOCKER\DISABLED,NAME NOT FOUND,Length: 48
14:15.7,OUTLOOK.EXE,21424,QueryOpen,C:\Program Files\Microsoft Office\root\Office16\vcruntime140.dll,FAST IO DISALLOWED,
14:15.7,OUTLOOK.EXE,21424,QueryOpen,C:\Program Files\Microsoft Office\root\Office16\C2R64.dll,FAST IO DISALLOWED,
14:15.7,OUTLOOK.EXE,21424,QueryOpen,C:\Program Files\Microsoft Office\root\Office16\vcruntime140.dll,FAST IO DISALLOWED,
14:15.7,OUTLOOK.EXE,21424,CreateFile,C:\Program Files\Microsoft Office\root\Office16\C2R64.dll,REPARSE,"Desired Access: Read Data/List Directory, Execute/Traverse, Synchronize, Disposition: Open, Options: Synchronous IO Non-Alert, Non-Directory File, Attributes: n/a, ShareMode: Read, Delete, AllocationSize: n/a, OpenResult: <unknown>"
14:15.7,OUTLOOK.EXE,21424,QueryOpen,C:\Program Files\Microsoft Office\root\Office16\msvcp140.dll,FAST IO DISALLOWED,
14:15.7,OUTLOOK.EXE,21424,CreateFileMapping,C:\Program Files\Common Files\microsoft shared\ClickToRun\C2R64.dll,FILE LOCKED WITH ONLY READERS,"SyncType: SyncTypeCreateSection, PageProtection: PAGE_EXECUTE|PAGE_NOCACHE"
14:15.7,OUTLOOK.EXE,21424,RegOpenKey,HKLM\System\CurrentControlSet\Control\Srp\GP\,REPARSE,Desired Access: Read
14:15.7,OUTLOOK.EXE,21424,RegOpenKey,HKLM\System\CurrentControlSet\Control\AppID\Configuration\SMARTLOCKER,REPARSE,Desired Access: Read
14:15.7,OUTLOOK.EXE,21424,QueryOpen,C:\Program Files\Microsoft Office\root\Office16\vcruntime140.dll,FAST IO DISALLOWED,
14:15.7,OUTLOOK.EXE,21424,RegQueryValue,HKLM\System\CurrentControlSet\Control\AppID\Configuration\SMARTLOCKER\DISABLED,NAME NOT FOUND,Length: 48
14:15.7,OUTLOOK.EXE,21424,RegOpenKey,HKLM\System\CurrentControlSet\Control\AppID\Configuration\SMARTLOCKER,REPARSE,Desired Access: Read
14:15.7,OUTLOOK.EXE,21424,RegOpenKey,HKLM\System\CurrentControlSet\Control\AppID\Configuration\SMARTLOCKER,REPARSE,Desired Access: Read
14:15.7,OUTLOOK.EXE,21424,RegOpenKey,HKLM\System\CurrentControlSet\Control\AppID\Configuration\SMARTLOCKER,REPARSE,Desired Access: Read
14:15.7,OUTLOOK.EXE,21424,QueryOpen,C:\Program Files\Microsoft Office\root\Office16\msvcp140.dll,FAST IO DISALLOWED,
14:15.7,OUTLOOK.EXE,21424,RegQueryValue,HKLM\System\CurrentControlSet\Control\AppID\Configuration\SMARTLOCKER\DISABLED,NAME NOT FOUND,Length: 48
14:15.7,OUTLOOK.EXE,21424,RegOpenKey,HKLM\Software\Microsoft\Windows\CurrentVersion\SideBySide\AssemblyStorageRoots,NAME NOT FOUND,Desired Access: Enumerate Sub Keys
14:15.7,OUTLOOK.EXE,21424,QueryOpen,C:\Windows\WinSxS\amd64_microsoft.windows.gdiplus_6595b64144ccf1df_1.1.26100.7309_none_6ef0f1d03dc91a12\GdiPlus.dll,FAST IO DISALLOWED,
14:15.7,OUTLOOK.EXE,21424,CreateFileMapping,C:\Windows\WinSxS\amd64_microsoft.windows.gdiplus_6595b64144ccf1df_1.1.26100.7309_none_6ef0f1d03dc91a12\GdiPlus.dll,FILE LOCKED WITH ONLY READERS,"SyncType: SyncTypeCreateSection, PageProtection: PAGE_EXECUTE|PAGE_NOCACHE"
14:15.7,OUTLOOK.EXE,21424,RegOpenKey,HKLM\System\CurrentControlSet\Control\Srp\GP\,REPARSE,Desired Access: Read
14:15.7,OUTLOOK.EXE,21424,RegOpenKey,HKLM\System\CurrentControlSet\Control\AppID\Configuration\SMARTLOCKER,REPARSE,Desired Access: Read
14:15.7,OUTLOOK.EXE,21424,RegQueryValue,HKLM\System\CurrentControlSet\Control\AppID\Configuration\SMARTLOCKER\DISABLED,NAME NOT FOUND,Length: 48
14:15.7,OUTLOOK.EXE,21424,RegOpenKey,HKLM\System\CurrentControlSet\Control\AppID\Configuration\SMARTLOCKER,REPARSE,Desired Access: Read
14:15.7,OUTLOOK.EXE,21424,RegOpenKey,HKLM\System\CurrentControlSet\Control\AppID\Configuration\SMARTLOCKER,REPARSE,Desired Access: Read
14:15.7,OUTLOOK.EXE,21424,RegOpenKey,HKLM\System\CurrentControlSet\Control\AppID\Configuration\SMARTLOCKER,REPARSE,Desired Access: Read
14:15.7,OUTLOOK.EXE,21424,RegQueryValue,HKLM\System\CurrentControlSet\Control\AppID\Configuration\SMARTLOCKER\DISABLED,NAME NOT FOUND,Length: 48
14:15.7,OUTLOOK.EXE,21424,QuerySecurityFile,C:\Windows\System32\msvcrt.dll,BUFFER OVERFLOW,Information: Owner
14:15.7,OUTLOOK.EXE,21424,QuerySecurityFile,C:\Windows\System32\sechost.dll,BUFFER OVERFLOW,Information: Owner
14:15.7,OUTLOOK.EXE,21424,QuerySecurityFile,C:\Windows\System32\rpcrt4.dll,BUFFER OVERFLOW,Information: Owner
14:15.7,OUTLOOK.EXE,21424,QuerySecurityFile,C:\Windows\System32\advapi32.dll,BUFFER OVERFLOW,Information: Owner
14:15.7,OUTLOOK.EXE,21424,QuerySecurityFile,C:\Windows\System32\ucrtbase.dll,BUFFER OVERFLOW,Information: Owner
14:15.7,OUTLOOK.EXE,21424,QuerySecurityFile,C:\Windows\System32\msvcp_win.dll,BUFFER OVERFLOW,Information: Owner
14:15.7,OUTLOOK.EXE,21424,QuerySecurityFile,C:\Windows\System32\win32u.dll,BUFFER OVERFLOW,Information: Owner
14:15.7,OUTLOOK.EXE,21424,QuerySecurityFile,C:\Windows\System32\user32.dll,BUFFER OVERFLOW,Information: Owner
